epoch,accuracy,loss,precision,recall,top_k_categorical_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top_k_categorical_accuracy
0,0.5027083158493042,1.4403645992279053,0.87847900390625,0.23343749344348907,0.8942708373069763,0.6225000023841858,1.1133848428726196,0.9163089990615845,0.3558333218097687,0.971666693687439
1,0.7133333086967468,0.9202686548233032,0.9201152920722961,0.46552082896232605,0.97677081823349,0.7383333444595337,0.8557800054550171,0.913690447807312,0.5116666555404663,0.9783333539962769
2,0.7942708134651184,0.715285062789917,0.9339591860771179,0.5907291769981384,0.9894791841506958,0.8208333253860474,0.6629047393798828,0.9452229142189026,0.6183333396911621,0.9941666722297668
3,0.8459374904632568,0.5891444683074951,0.9469565153121948,0.6806250214576721,0.9945833086967468,0.8508333563804626,0.5680500864982605,0.9527649879455566,0.6891666650772095,0.9950000047683716
4,0.8693749904632568,0.5005407929420471,0.9555436372756958,0.7433333396911621,0.9961458444595337,0.8758333325386047,0.4943526089191437,0.9527390003204346,0.7391666769981384,0.9950000047683716
5,0.8878124952316284,0.4380185902118683,0.9560845494270325,0.7823958396911621,0.997083306312561,0.8916666507720947,0.44809433817863464,0.9528205394744873,0.7741666436195374,0.996666669845581
6,0.9053124785423279,0.38891762495040894,0.9622872471809387,0.8186458349227905,0.9978125095367432,0.8941666483879089,0.41760390996932983,0.945652186870575,0.7975000143051147,0.9950000047683716
7,0.9130208492279053,0.3477943539619446,0.9636580944061279,0.8396875262260437,0.9982291460037231,0.8999999761581421,0.39704325795173645,0.9552529454231262,0.8183333277702332,0.9950000047683716
8,0.9243749976158142,0.3144797086715698,0.9679577350616455,0.8590624928474426,0.9985416531562805,0.8841666579246521,0.39659884572029114,0.9391635060310364,0.8233333230018616,0.9983333349227905
9,0.9336458444595337,0.28377407789230347,0.9691741466522217,0.8777083158493042,0.9991666674613953,0.9066666960716248,0.3534544110298157,0.9549295902252197,0.8475000262260437,0.9958333373069763
10,0.9402083158493042,0.2613438367843628,0.973603367805481,0.8913541436195374,0.9989583492279053,0.9058333039283752,0.33412498235702515,0.9551820755004883,0.8525000214576721,0.9975000023841858
11,0.9469791650772095,0.24159187078475952,0.9737019538879395,0.9024999737739563,0.9991666674613953,0.9133333563804626,0.3208690583705902,0.9529085755348206,0.8600000143051147,0.9983333349227905
12,0.9485416412353516,0.22361791133880615,0.9759937524795532,0.9105208516120911,0.9993749856948853,0.92166668176651,0.2946470379829407,0.9505839943885803,0.8816666603088379,0.996666669845581
13,0.9546874761581421,0.20868228375911713,0.9760346412658691,0.9163541793823242,0.9995833039283752,0.9183333516120911,0.31351548433303833,0.9508644342422485,0.8708333373069763,0.9975000023841858
14,0.9590625166893005,0.19341759383678436,0.9816302061080933,0.9295833110809326,0.9996874928474426,0.9191666841506958,0.2881627082824707,0.951438844203949,0.8816666603088379,0.9975000023841858
